nl,en
ik,I
je,you
het,it
de,the
dat,Which
is,is
een,a
niet,not
en,and
van,from
wat,what
we,we
in,in
ze,they
hij,he
te,to
zijn,to be
op,on
maar,but
er,there
met,with
voor,in front of
die,That
heb,have got
me,me
als,as
was,used to be
ben,am
om,to
dit,this
mijn,my
aan,On
u,you
dan,than
n,n
naar,to
weet,know
hier,here
zo,so
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,him
heeft,has
wel,well
moet,must
wil,want
hebben,to have
goed,good
haar,her
nee,No
hoe,how
nu,now
waar,true
over,about
ook,also
doen,to do
uit,from
zou,would
ga,ga
of,or
gaan,to go
bent,are
mij,me
bij,Bee
al,already
ons,U.S
had,had
iets,something
daar,over there
jullie,you
gaat,goes
zal,shall
m,m
hebt,have
kom,bowl
waarom,why
meer,more
deze,this one
moeten,should
t,t
laat,late
kunnen,can
dus,So
jou,you
denk,think
wie,Who
alles,everything
echt,for real
doe,do
door,through
alleen,only
s,s
toch,However
zien,see
weg,away
eens,once
man,man
misschien,perhaps
laten,leave
nooit,never
nou,Well
zei,said
terug,back
oké,Okay
mee,along
niets,nothing
iemand,someone
komt,coming
toen,then
veel,a lot of
even,for a bit
onze,our
gewoon,just
weten,know
komen,come
nodig,required
mensen,people
tot,until
worden,turn into
zeggen,say
tijd,time
weer,weather
leven,life
twee,two
net,just
tegen,against
maken,to make
uw,your
zeg,say
omdat,because
zit,is
wordt,is becoming
z,z
hou,love
kijk,look
heel,very
wij,we
altijd,always
mag,allowed
gedaan,done
dood,death
zeker,certainly
af,down
jaar,year
hun,their
wilde,wanted to
dag,day
allemaal,all of them
jouw,your
huis,House
dacht,thought
doet,is doing
vader,father
kunt,can
wacht,wait
zie,see
vrouw,woman
keer,time
andere,Others
zoals,as
zij,she
dank,thanks
anders,different
geef,give
waren,goods
willen,want
zich,herself
bedankt,thanks
één,a
mr,mr
erg,very
wilt,To
praten,to talk
spijt,regret
geld,money
kon,could
werk,work
oh,Oh
iedereen,everyone
beter,better
werd,became
moeder,mother
niemand,no one
vinden,find
staat,state
gezien,seen
niks,nothing
binnen,within
zitten,to sit
zullen,shall
na,after
helpen,help out
wist,knew
vind,find
genoeg,enough
sorry,Sorry
vast,fixed
elkaar,each other
ging,went
uur,hour
klaar,ready
hele,all
neem,take
leuk,fun
natuurlijk,of course
alle,all
god,God
maak,making
lang,long
kwam,came
graag,gladly
hé,Hey
toe,to
drie,three
zegt,says
bedoel,mean
deed,did
dingen,stuff
maakt,makes
alsjeblieft,please
eerste,first
krijgen,to get
zonder,without
steeds,ever
hallo,Hey
houden,to keep
vertellen,to tell
ziet,sees
idee,idea
geven,to give
achter,behind
geweest,been
blijven,stay
helemaal,all the way
mooi,beautiful
onder,below
kijken,look
zag,saw
goede,well
naam,name
moest,had to
blijf,stay
kun,you
auto,car
luister,listen
grote,great
lijkt,seems
snel,fast
ooit,ever
vragen,questions
paar,couple
wanneer,when
want,because
meneer,Mr.
nieuwe,new ones
gebeurd,happened
zorgen,to care
vriend,friend
beetje,bit
kinderen,children
gek,crazy
hand,hand
vraag,ask
laatste,last
geweldig,awesome
hadden,had
zelfs,even
enige,some
bang,anxious
nemen,take
samen,together
eten,food
o,O
zelf,self
hoor,hear
geleden,ago
staan,stand
gevonden,found it
jongen,boy
denken,to think
vandaag,today
denkt,think
beste,Best
gezegd,said
thuis,home
wereld,world
jongens,boys
heen,away
ken,ken
hen,them
eerst,first
eigen,own
zoon,son
gelijk,equal
buiten,Outside
vertel,tell
morgen,tomorrow
meisje,girl
probleem,problem
alsof,as if
geloof,faith
halen,get
familie,family
elke,each
hoop,hope
politie,Police
mannen,men
bijna,almost
vermoord,murdered
eigenlijk,actually
werken,to work
verdomme,damn
horen,to hear
manier,way
zat,was sitting
vrienden,friends
precies,exactly
kind,child
hè,Hey
kleine,little
begrijp,understandable
wou,wanted
geeft,gives
orde,order
houdt,keeps
vroeg,early
stop,Stop
wachten,to wait
rustig,quiet
hoofd,head
krijg,receive
daarom,therefore
gebeurt,happens
soms,sometimes
volgens,according to
dagen,days
vond,found
krijgt,gets
gemaakt,made
kant,side
werkt,works
open,Open
gehad,had
voel,feel
zaak,matter
blij,happy
volgende,next one
zoek,Search
kans,opportunity
vanavond,tonight
bel,bell
probeer,try
zoeken,Search
oude,old
ding,thing
moment,moment
best,best
tussen,between
plaats,place
pas,only
gehoord,heard
vijf,five
verteld,told
zet,move
prima,fine
hulp,help
stad,city
vindt,finds
brengen,bring
pijn,pain
slecht,bad
geloven,to believe
eruit,get out
minuten,minutes
school,school
plan,plan
broer,brother
pak,business suit
jezelf,yourself
hoeveel,How much
kamer,room
betekent,means
spreken,to speak
juist,right
heet,hot
soort,kind
haal,get
ergens,somewhere
vier,four
gebruiken,use
ligt,lies
blijft,continues
welke,which
proberen,to attempt
dokter,doctor
agent,agent
help,Help
later,later on
voordat,prior to
ogen,eyes
vrij,free
klopt,right
gaf,gave
foto,photo
word,become
zodat,so that
dochter,daughter
problemen,issues
plek,place
water,water
kent,knows
week,week
beginnen,to start
praat,talking
eerder,earlier
lk,l
mis,wrong
handen,hands
deur,door
baby,baby
bellen,dial
boven,above
groot,big
echte,real
hoeft,need
ie,ie
doden,kill
stoppen,stop
moeilijk,difficult
dr,dr
sinds,since
land,country
spelen,play
zoveel,that much
hetzelfde,the same
mevrouw,Mrs.
snap,snap
breng,bring
pakken,to grab
druk,pressure
verhaal,story
lekker,yummy
vrouwen,women
schat,treasure
vergeten,forget
gebeuren,to happen
ervan,it
kreeg,received
waarschijnlijk,probably
hoi,Hi
mogelijk,possible
mooie,beautiful
bloed,blood
wees,orphan
nacht,night
nieuws,news
bed,bed
liet,showed
lopen,walk
gelukkig,happy
waarheid,truth
reden,reason
papa,Daddy
hoorde,heard
klinkt,sounds
maanden,months
vermoorden,murder
zorg,care
dollar,dollar
bezig,busy
voorbij,past
terwijl,while
sta,sta
zaken,Affairs
avond,evening
tien,ten
schuld,debt
veilig,safe
redden,to rescue
hart,heart
zult,shall
duidelijk,clearly
stel,set
the,the
schiet,shoot
eraan,it
zes,six
begin,get started
gekomen,come
vol,full
vriendin,girlfriend
rond,round
voelt,feels
baas,boss
moord,murder
ander,other
klein,small
fijn,nice
jaren,years
mam,mam
lichaam,body
eerlijk,fair
gezicht,face
ver,far
wakker,awake
ouders,parents
zoiets,something
leren,to learn
telefoon,phone
los,loose
per,per
mama,mom
nummer,number
fout,wrong
mogen,be allowed to
meteen,right away
slapen,to sleep
zeer,very
dezelfde,the same
liefde,love
alstublieft,Please
deel,part
liggen,lie
erop,on
vaak,often
vallen,fall
belangrijk,important
sterven,to die
oud,old
neer,down
buurt,neighborhood
langs,along
houd,love
rest,rest
stond,was standing
sir,sir
begrepen,understood
drinken,drink
team,team
vertelde,told
beneden,down
vergeet,forgets
vooruit,forward
mrs,mrs
hoort,hears
baan,job
dicht,close
inderdaad,indeed
geval,case
zetten,put
oorlog,war
mezelf,myself
tijdens,while
john,John
maakte,made
kennen,know
gebruikt,used
oke,Okay
geluk,luck
hey,hey
hield,held
wapen,weapon
kop,head
vertrouwen,trust
rust,peace
mond,mouth
weken,weeks
elk,each
betalen,Pay
anderen,others
neemt,take
recht,straight
nam,took
jack,jack
kantoor,office
gegeven,given
ermee,it
overal,everywhere
eén,a
daarna,afterwards
tweede,second
onderzoek,research
welkom,welcome
hard,hard
liever,rather
bewijs,proof
vanaf,from
aardig,nice
klootzak,asshole
stuk,piece
woord,word
veranderen,change
zin,sentence
straks,later
vent,guy
zus,sister
haat,hate
vandaan,from
miss,miss
lieverd,darling
zichzelf,himself
nieuw,new
ontmoeten,Meet
werden,were
allebei,both
minder,less
pap,dad
nergens,nowhere
kwaad,pissed off
sam,sam
erin,it
ervoor,before
kerel,dude
gisteren,yesterday
ontmoet,meets
miljoen,million
film,movie
verloren,lost
probeerde,attempted
gebeld,called
new,new
antwoord,answer
noemen,to mention
informatie,information
boek,book
stil,quiet
kapitein,captain
kwijt,lost
enkel,only
valt,falls
boos,angry
licht,light
geworden,become
pa,dad
persoon,person
konden,could
beschermen,to protect
slechte,poor
ziekenhuis,Hopital
gevoel,feeling
gegaan,gone
voorzichtig,cautious
hond,dog
rijden,to drive
eindelijk,Finally
gesproken,speaking
meisjes,girls
aarde,soil
ten,at
normaal,normal
grappig,funny
heren,Gentlemen
voelen,to feel
moordenaar,killer
mens,man
president,president
nogal,quite
gevangenis,jail
loopt,runs
degene,the one
prachtig,magnificent
hoezo,how so
kopen,to buy
vechten,fight
punt,point
vreemd,strange
trouwen,Marry
contact,Contact
verkeerd,wrong
meen,mean
koffie,coffee
verwacht,expected
schip,ship
ziek,ill
plezier,pleasure
einde,end
stap,step
advocaat,lawyer
begon,began
enkele,a few
erbij,there
gang,corridor
gebeurde,happened
heer,lord
herinner,remember
jezus,Jesus
opnieuw,again
serieus,serious
zomaar,No reason
pardon,excuse me
gevraagd,asked
controle,check
getrouwd,married
daarmee,therewith
spel,game
bedoelt,mean
perfect,perfect
stellen,set
juiste,right
koning,king
beloof,promise
grond,ground
waard,worth
winnen,to win
nadat,after
gebruik,use
naartoe,more
begrijpen,to understand
veranderd,changed
acht,eight
he,Hey
gingen,used to go
kwamen,came
leeft,lives
leg,put
gekregen,got
langer,longer
verliezen,to lose
vroeger,back in the days
lucht,sky
wapens,weapons
verlaten,leave
probeert,try
dames,Women
seks,sex
schieten,shoot
toekomst,future
behalve,except
slim,smart
meest,most
stuur,handlebar
leger,army
woorden,words
zeven,seven
brengt,brings
charlie,Charlie
half,half
hierheen,here
trots,pride
spullen,stuff
geheim,secret
helpt,help
vraagt,asks
michael,michael
weinig,few
ongeveer,about
schatje,baby
sommige,some
makkelijk,easy
kracht,power
gedood,slain
gestolen,stolen
tenminste,at least
lange,long
ongeluk,accident
frank,frank
zodra,as soon
werkte,worked
wilden,wild ones
eet,eat
slechts,only
lief,sweet
nietwaar,not true
relatie,relation
trek,pull
afgelopen,past
val,fall
volgen,to follow
ter,to
voelde,felt
bekend,known
bewijzen,prove
hoef,hoof
via,through
oom,uncle
loop,course
belde,phoned
lijken,appear
sturen,send
men,one
slachtoffer,victim
george,George
genomen,taken
maand,month
onzin,nonsense
meid,girl
york,york
erger,worse
idioot,idiot
ziens,Goodbye
dienst,shift
erover,about
feest,party
leek,layman
vreselijk,horrible
eentje,one
gevaar,Danger
wonen,live
grootste,main
succes,good luck
vertrekken,leave
jawel,Yes
muziek,music
mocht,if
raar,weird
slaap,sleep
joe,joe
absoluut,absolutely
vorige,previous
ruimte,space
ieder,each
schuldig,guilty
goeie,good
begonnen,started
luisteren,listen
sterk,strongly
omhoog,up
totdat,until
afspraak,appointment
lezen,read
zwarte,black
vanwege,because of
hemel,sky
tenzij,unless
gisteravond,yesterday evening
begrijpt,understands
ene,one
lag,was
naast,next
vooral,mostly
fantastisch,fantastic
gered,saved
viel,fell
trouwens,Besides
uh,uh
bank,Bank
pistool,pistol
noem,call
bedrijf,company
camera,camera
blijkbaar,apparently
woont,lives
verkopen,to sell
beide,both
zolang,so long
straat,street
mike,Mike
geest,spirit
david,david
vuur,fire
peter,Peter
verkeerde,false
moesten,must
lieve,dear
tom,Tom
geprobeerd,tried
meeste,most
kijkt,looks
stierf,died
hotel,hotel
droom,dream
verliefd,in love
jammer,Unfortunately
gedacht,thought
let,beware
rug,back
